Logo,Logo,
Logout,Déconnexion,
Media,Média,
Menu,Menu,
Message,Message,
Message is required,Le message est requis,
Meta,Meta,
Meta Tags,Balises meta,
Missing Fields,Champs Manquants,
Montserrat,Montserrat,
My Profile,Mon profil,
My Settings,Mes paramètres,
My account,Mon compte,
My orders,Mes commandes,
My wishlist,Ma liste de souhaits,
Name,Nom,
No results found,Aucun résultat trouvé,
None,Aucun,
Not used in any page,Non utilisé dans aucune page,
Notes,Remarques,
Only allow logged-in users to view this page.,Autoriser uniquement les utilisateurs connectés à voir cette page.,
Open in Builder,Ouvrir dans Builder,
Options,Options,
Order,Commande,
Other,Autre,
Outline,Contour,
Page Data Script,Script de données de page,
Page Name,Nom de la Page,
Page Preview,Aperçu de la page,
Parameters,Paramètres,
Phone,Téléphone,
Prevent search engines from indexing this page,Empêcher les moteurs de recherche d'indexer cette page,
Preview,Aperçu,
Preview Height,Hauteur de l'aperçu,
Preview Image is mandatory,L'image d'aperçu est obligatoire,
Preview Width,Largeur de l'aperçu,
Pricing,Tarification,
Primary,Primaire,
Primary Color,Couleur primaire,
Project Folder,Dossier du projet,
Public URL,URL publique,
Published,Publié,
Reload,Recharger,
Replace,Remplacer,
Replace Component,Remplacer le composant,
Replace With,Remplacer par,
Report an Issue,Signaler un problème,
Required Information,Informations requises,
Retry,Réessayer,
Role,Rôle,
Route,Route,
Script,Script,
Script Public URL,URL publique du script,
Script Type,Type de script,
Scripting,Script,
Search,Rechercher,
Search error,Erreur de recherche,
Search for Products,Rechercher des produits,
Search products...,Rechercher des produits...,
Searching...,Recherche...,
Secondary,Secondaire,
Services,Services,
Session Defaults,Valeurs par défaut de session,
Session ID is required,L'identifiant de session est requis,
Session not found,Session non trouvée,
Session resumed. You can continue where you left off.,Session reprise. Vous pouvez continuer là où vous en étiez.,
Shop,Boutique,
Source,Source,
Source Type,Type de source,
Spacing,Espacement,
Start Shopping,Commencer vos achats,
Starting conversation...,Démarrage de la conversation...,
Status,Statut,
Structure,Structure,
Style,Style,
Style Public URL,URL publique du style,
Subtotal,Sous-total,
System Manager,Gestionnaire système,
Target Component,Composant cible,
Template Name,Nom du modèle,
Template Path,Chemin du modèle,
Text,Texte,
Text Color,Couleur du Texte,
The component you are trying to replace with does not exist,Le composant par lequel vous essayez de remplacer n'existe pas,
"The preferred URL version of this page for search engines. If not set, the current page URL will be used.","L'URL préférée de cette page pour les moteurs de recherche. Si non définie, l'URL actuelle de la page sera utilisée.",
Theme,Thème,
This will be appended at the end of the &lt;body&gt;,Ceci sera ajouté à la fin du &lt;body&gt;,
This will be appended at the end of the &lt;head&gt;,Ceci sera ajouté à la fin du &lt;head&gt;,
Thumbnail,Miniature,
Timestamp,Horodatage,
Title,Titre,
Toggle Full Width,Basculer en pleine largeur,
Toggle Theme,Changer de thème,
Total,Total,
Type,Type,
Typography,Typographie,
URL,URL,
Upload logo,Télécharger le logo,
Used in 1 page,Utilisé dans 1 page,
Used in {0} pages,Utilisé dans {0} pages,
User,Utilisateur,
User Font,Police utilisateur,
User Forum,Forum utilisateur,
Value,Valeur,
Variable Name,Nom de la variable,
View Cart,Voir le panier,
View Website,Voir le site web,
View all results,Voir tous les résultats,
Website Manager,Gestionnaire de site web,
Website URL,URL de site web,
Wishlist,Liste de souhaits,
You don't have permission to access this component,Vous n'avez pas la permission d'accéder à ce composant,
Your Cart,Votre panier,
Your cart is empty,Votre panier est vide,
failed,échoué,
inverted,inversé,
none,aucun,
user,utilisateur,
All information collected! Click **Generate Site** when you're ready.,Toutes les informations sont collectées ! Cliquez sur **Générer le site** quand vous êtes prêt.,
"All required information has been collected! You can now click **Generate Site** to create your website.","Toutes les informations requises ont été collectées ! Vous pouvez maintenant cliquer sur **Générer le site** pour créer votre site web.",
An unexpected error occurred. Please try again.,Une erreur inattendue s'est produite. Veuillez réessayer.,
Blog,Blog,
Builder AI Chat,Chat Builder AI,
Business & objective,Activité et objectif,
Completed!,Terminé !,
Could you describe your website project? What is your business or activity about?,Pouvez-vous décrire votre projet de site web ? Quelle est votre activité ou votre entreprise ?,
Could you provide: **{0}**?,Pourriez-vous fournir : **{0}** ?,
Describe your website...,Décrivez votre site web...,
Failed to get generation status,Impossible de récupérer le statut de génération,
Failed to process logo,Impossible de traiter le logo,
Failed to process logo.,Impossible de traiter le logo.,
Failed to process message: {0},Impossible de traiter le message : {0},
Failed to start chat session,Impossible de démarrer la session de chat,
Failed to start generation,Impossible de démarrer la génération,
Failed to start generation. Please try again.,Impossible de démarrer la génération. Veuillez réessayer.,
Failed to trigger generation: {0},Impossible de lancer la génération : {0},
File size must be less than 5MB.,La taille du fichier ne doit pas dépasser 5 Mo.,
Generate Site,Générer le site,
Generation,Génération,
Generation failed,Échec de la génération,
Generating page,Génération de la page,
Hello!,Bonjour !,
Hello {name}!,Bonjour {name} !,
I want a multi-page showcase website,Je veux un site vitrine avec plusieurs pages,
I want a showcase site with user login,Je veux un site vitrine avec connexion utilisateur,
I want a single page website,Je veux un site sur une seule page,
I want an online store to sell products,Je veux une boutique en ligne pour vendre des produits,
Let's continue with the next step.,Continuons avec l'étape suivante.,
Missing required fields: {0},Champs requis manquants : {0},
No generation job found,Aucune tâche de génération trouvée,
"No problem, we'll skip the logo for now.","Pas de problème, on passera le logo pour l'instant.",
Online store,Boutique en ligne,
Pages,Pages,
Pages created,Pages créées,
Please upload a PNG JPEG or SVG image.,Veuillez télécharger une image PNG JPEG ou SVG.,
"Please upload your logo using the upload button or drag & drop.","Veuillez télécharger votre logo en utilisant le bouton ou par glisser-déposer.",
Portfolio,Portfolio,
Real-time progress,Progression en temps réel,
Retry Generation,Relancer la génération,
Showcase site,Site vitrine,
Single page site,Site une page,
Site Generation,Génération de site,
Site with login,Site avec connexion,
Site generated successfully!,Site généré avec succès !,
Site structure,Structure du site,
"Sorry, I encountered an error. Please try again.","Désolé, j'ai rencontré une erreur. Veuillez réessayer.",
Starting...,Démarrage...,
Starting site generation...,Démarrage de la génération du site...,
Theme & colors,Thème et couleurs,
This may take a few minutes. I will show you the progress in real-time.,Cela peut prendre quelques minutes. Je vous montrerai la progression en temps réel.,
Uploading logo...,Téléchargement du logo...,
What is the name of your business or project?,Quel est le nom de votre entreprise ou projet ?,
What is the name of your business?,Quel est le nom de votre entreprise ?,
What is your website about?,De quoi parle votre site web ?,
What main color would you like for your site?,Quelle couleur principale souhaitez-vous pour votre site ?,
What main color would you like?,Quelle couleur principale souhaitez-vous ?,
What type of site would you like?,Quel type de site souhaitez-vous ?,
Which visual theme do you prefer for your site?,Quel thème visuel préférez-vous pour votre site ?,
Which visual theme do you prefer?,Quel thème visuel préférez-vous ?,
You can now edit your pages in the Builder editor.,Vous pouvez maintenant modifier vos pages dans l'éditeur Builder.,
(Skip logo),(Passer le logo),
"I'm **Builder AI**, your website creation assistant.","Je suis **Builder AI**, votre assistant de création de sites web.",
"I'll guide you step by step to generate a complete website. Let's start!","Je vais vous guider étape par étape pour générer un site complet. Commençons !",
"**What type of website do you want to create?** Briefly describe your business or project, and I'll take care of the rest.","**Quel type de site web souhaitez-vous créer ?** Décrivez brièvement votre activité ou projet, et je m'occupe du reste.",
"Logo received! I'll use it for your site generation.","Logo reçu ! Je l'utiliserai pour la génération de votre site.",
"No problem, we'll skip the logo for now.","Pas de problème, on passera le logo pour l'instant.",
Company Data,Données de l'entreprise,
I found the following information for your business:,J'ai trouvé les informations suivantes pour votre entreprise :,
Would you like to keep this information or modify it?,Souhaitez-vous garder ces informations ou les modifier ?,
Keep all,Tout garder,
I want to keep all this information,Je veux garder toutes ces informations,
Modify,Modifier,
I want to modify some information,Je veux modifier certaines informations,
available,disponible,
Generate real images,Générer de vraies images,
Keep placeholders,Garder les placeholders,
Want to replace placeholder images with AI-generated ones?,Voulez-vous remplacer les images placeholder par des images générées par IA ?,
"Your pages currently use placeholder images. I can generate real, contextual images using AI. This takes about 30-60 seconds per image.","Vos pages utilisent actuellement des images placeholder. Je peux générer de vraies images contextuelles avec l'IA. Cela prend environ 30 à 60 secondes par image.",
Starting image generation...,Démarrage de la génération d'images...,
This may take a few minutes. I will show you the progress.,Cela peut prendre quelques minutes. Je vous montrerai la progression.,
Found,Trouvé,
images to generate,images à générer,
Image generation failed,La génération d'images a échoué,
Image generation complete!,Génération d'images terminée !,
images generated successfully.,images générées avec succès.,
images could not be generated and keep their placeholders.,images n'ont pas pu être générées et gardent leurs placeholders.,
Refresh your pages in the Builder editor to see the new images.,Actualisez vos pages dans l'éditeur Builder pour voir les nouvelles images.,
Generating,Génération en cours,
Custom color,Couleur personnalisée,
Articles will appear here once published. Create your first Blog Post to get started.,Les articles apparaîtront ici une fois publiés. Créez votre premier Blog Post pour commencer.,
Continue,Continuer,
Custom page,Page personnalisée,
Generate entire site,Générer tout le site,
Generate entire site at once,Générer tout le site d'un coup,
Generating the remaining pages with the refined design...,Génération des pages restantes avec le design affiné...,
Homepage first,La page d'accueil d'abord,
Generate homepage first for review,Générer d'abord la page d'accueil pour vérification,
Homepage Feedback,Retour sur la page d'accueil,
Homepage Iterations,Itérations de la page d'accueil,
Generation Mode,Mode de génération,
Generation started...,Génération lancée...,
How would you like to generate?,Comment souhaitez-vous générer ?,
Maximum homepage iterations reached (2). Proceeding with current version.,Nombre maximum d'itérations de la page d'accueil atteint (2). Poursuite avec la version actuelle.,
No additional pages,Pas de pages supplémentaires,
No articles yet,Pas d'articles pour le moment,
No remaining pages to generate,Plus de pages à générer,
No saved brief found in session,Aucun brief sauvegardé dans la session,
Page **{title}** added!,Page **{title}** ajoutée !,
Pages to generate:,Pages à générer :,
**Pages to generate:**,**Pages à générer :**,
Would you like to add optional pages to your site?,Souhaitez-vous ajouter des pages optionnelles à votre site ?,
Perfect!,Parfait !,
Regenerating the homepage with your feedback...,Régénération de la page d'accueil avec vos retours...,
Saved Brief,Brief sauvegardé,
Session not found,Session non trouvée,
The homepage looks good!,La page d'accueil est bien !,
This page is already in your list.,Cette page est déjà dans votre liste.,
View All Articles,Voir tous les articles,
Want to add more pages?,Voulez-vous ajouter d'autres pages ?,
"What should this page be called? (e.g. ""Recruitment"", ""FAQ"", ""Pricing"")","Comment cette page doit-elle s'appeler ? (ex : ""Recrutement"", ""FAQ"", ""Tarifs"")",
What would you like to change? Describe your feedback and I'll regenerate the homepage.,Que souhaitez-vous modifier ? Décrivez vos retours et je régénèrerai la page d'accueil.,
